PROPOSAL,Decision,PA Decision issued,Determining Body,Appeal lodged,Appeal determined,PA Ref,Property Address,Appeal decision
Approval in principle for the erection of ten dwellings (discharging siting and means of access),Permitted,14-May-12,Head of Development Management,04-Jun-12,22-Oct-12,08/01297/A,Land Between Belmont Hill And Ballakermeen Avenue Belmont Hill Douglas Isle Of Man  ,Approved at Appeal
Continued use of site as a temporary car park for a period of up to five years (Retrospective),Application Withdrawn,14-Sep-12,Withdrawn,09-Feb-10,14-Sep-12,10/00189/R,Former Site Of 1-4 Mount Havelock Mount Havelock Douglas Isle Of Man,Department Application withdrawn
Change of condition one of PA 97/00041/B (retrospective),Refused,23-Nov-10,Planning Committee,13-Dec-10,29-Mar-12,10/00405/R,8 - 10 Allan Street Douglas Isle Of Man IM1 3DH,Approved at Appeal
"Alterations, extensions and conversion of former Boarding House to a single dwelling",Refused,24-Aug-11,Head of Development Management,01-Sep-11,23-Jan-12,10/01719/B,12 Derby Square Douglas Isle Of Man IM1 3LS,Refused at Appeal
"Estate layout for two detached dwellings and garages with associated access road, drainage and other services and access for construction traffic to adjacent land",Permitted,18-Oct-11,Planning Committee,07-Nov-11,02-Apr-12,11/00241/B,Land Off Station Road St Johns Isle Of Man  ,Approved at Appeal
Installation of a single shop front and facia including the amalgamation of building at ground floor level,Refused,24-Jun-11,Head of Development Management,14-Jul-11,14-Sep-12,11/00248/B,37/39 Victoria Street Douglas Isle Of Man IM1 2LF,Appeal Withdrawn
Erection of advertising signage,Refused,24-Jun-11,Head of Development Management,14-Jul-11,14-Sep-12,11/00249/D,37/39 Victoria Street Douglas Isle Of Man IM1 2LF,Appeal Withdrawn
Erection of an agricultural building,Refused,16-Sep-11,Head of Development Management,04-Oct-11,05-Mar-12,11/00387/B,Field 321916 Cooil Road Cooil Douglas Isle Of Man  ,Approved at Appeal
Demolition of existing buildings and erection of a block of 12 apartments with ground floor retail unit and parking,Refused,21-Nov-11,Director Delegation,09-Dec-11,08-Mar-12,11/00421/B,6-8 Bridge Road & Warehouse Lake Road  Douglas Isle Of Man IM1 5AG,Appeal Withdrawn
Registered Building Consent for the demolition of existing buildings,Refused,21-Nov-11,Director Delegation,09-Dec-11,08-Mar-12,11/00422/CON,6 To 8 Bridge Road And Warehouse Lake Road  Douglas Isle Of Man IM1 5AG,Appeal Withdrawn
"Alterations, demolish existing rear outlet accommodation and erection of an extension to dwelling",Permitted,21-Oct-11,Director Delegation,03-Nov-11,29-Feb-12,11/00461/B,3 College Green Castletown Isle Of Man IM9 1BE,Approved at Appeal
Erection of a detached garage to rear elevation,Refused,14-Jun-11,Head of Development Management,06-Jul-11,16-Feb-12,11/00537/B,Coburg Court Coburg Road Ramsey Isle Of Man IM8 3EH,Appeal Withdrawn
Reserved Matters application for the erection of a detached dwelling,Permitted,17-Oct-11,Planning Committee,31-Oct-11,05-Mar-12,11/00674/REM,Land To Rear Of St Catherines Drive And Off Belmont Hill Douglas Isle Of Man  ,Approved at Appeal
"Erection of 35 dwellings with associated highway and drainage infrastructure, public open space and landscaping",Permitted,02-Mar-12,Department Application,08-Sep-11,16-Feb-12,11/00684/B,Colby Football Club Ground Glen Road  Colby Isle Of Man IM9 4NU,Department Application Approved
"Residential estate layout of six plots, roads and sewers including temporary construction access to site off Station Road",Permitted,18-Oct-11,Planning Committee,07-Nov-11,02-Apr-12,11/00690/B,Fields 312909 And 314758 Land Adjacent To Balladoyne St Johns Isle Of Man  ,Refused at Appeal
Alterations and erection of extensions to dwelling,Refused,25-Aug-11,Head of Development Management,31-Aug-11,10-Jan-12,11/00693/B,17 Derby Square Douglas Isle Of Man IM1 3LS,Refused at Appeal
Extension to side elevation,Refused,30-Aug-11,Planning Committee,15-Sep-11,23-Jan-12,11/00710/B,5 Ballaquark Douglas Isle Of Man IM2 2EX,Approved at Appeal
Erection of raised patio area with balustrade and fencing to front and side elevations,Permitted,05-Sep-11,Head of Development Management,23-Sep-11,29-Feb-12,11/00714/B,6 Old School View Crosby Isle Of Man IM4 4DA ,Approved at Appeal
Creation of a field access,Refused,20-Sep-11,Head of Development Management,05-Oct-11,26-Apr-12,11/00793/B,Field 122228 Loop Road West Craig Ramsey Isle Of Man  ,Approved at Appeal
Creation of a field access,Refused,20-Sep-11,Head of Development Management,11-Oct-11,01-Feb-12,11/00794/B,Field 124155 St Judes Road St Judes Isle Of Man  ,Appeal Withdrawn
Erection of an extension to and conversion of existing detached garage to create ancillary living accommodation,Refused,01-Sep-11,Head of Development Management,05-Sep-11,10-Jan-12,11/00855/B,Ballakewin Farm Foxdale Road Ballasalla Isle Of Man IM9 3DW,Refused at Appeal
Erection of a replacement detached dwelling with integral garaging and creation of improved vehicular access,Refused,01-Sep-11,Planning Committee,05-Sep-11,10-Jan-12,11/00871/B,Bay View Old Castletown Road Port Soderick Isle Of Man IM4 1BB,Refused at Appeal
Erection of a replacement building to create garage and store and erection of detached building to provide two tourist accommodation units,Permitted,16-Nov-11,Planning Committee,06-Dec-11,07-Mar-12,11/00893/B,Lilybank Kionslieu Hill Foxdale Isle Of Man IM4 3HB,Appeal Withdrawn
Removal of condition five regarding horticulture worker occupancy (PA 86/01334) (Retrospective),Refused,21-Oct-11,Director Delegation,07-Nov-11,08-Mar-12,11/00908/C,Norfolk Nurseries Main Road Greeba Isle Of Man IM4 3LF,Refused at Appeal
Extension to existing agricultural shed including associated hard-standing and landscaping,Refused,13-Dec-11,Planning Committee,21-Dec-11,16-May-12,11/00926/B,Field 324082  Braaid Road Braaid Isle Of Man  ,Appeal Withdrawn
Erection of a dwelling,Permitted,16-Sep-11,Planning Committee,21-Sep-11,23-Jan-12,11/00942/B,Plot 1 Far End & Adjacent Plot King Edward Road Onchan Isle Of Man IM3 2AU,Refused at Appeal
"Erection of 45 dwellings with associated highway and drainage infrastructure, public open space and landscaping",Permitted,31-May-12,Department Application,25-Jul-11,24-May-12,11/00990/B,"Parts Of Fields 134273,134274,134275,134276  And Adjacent Highway  East Of Gardeners Lane  Poylldooey Ramsey  Ramsey Isle Of Man  ",Department Application Approved
"Alterations, extensions and conversion of former Boarding House to a single dwelling",Refused,08-Sep-11,Head of Development Management,26-Sep-11,21-May-12,11/00991/B,12 Derby Square Douglas Isle Of Man IM1 3LS,Refused at Appeal
"Alterations, conversion of garage and erection of a single storey extension to provide additional living accommodation",Refused,20-Sep-11,Head of Development Management,05-Oct-11,06-Jan-12,11/01029/B,Tudor Lodge Residential Care Home 18 Stanley Terrace Douglas Isle Of Man IM2 4EP,Approved at Appeal
"Extension to roof, installation of dormer, roof lights and gable end window",Refused,11-Oct-11,Head of Development Management,26-Oct-11,05-Mar-12,11/01045/B,6 Ballakermeen Drive Douglas Isle Of Man IM1 4HN,Refused at Appeal
Erection of a crossed field radio antenna,Refused,07-Nov-11,Head of Development Management,25-Nov-11,21-May-12,11/01064/B,Field 524081 Douglas Head Douglas Isle Of Man  ,Refused at Appeal
"Alterations including installation of dormer and roof lights, pitched roof, front porch extension and decking",Refused,29-Sep-11,Director Delegation,04-Oct-11,29-Feb-12,11/01088/B,22 Birch Hill Avenue Onchan Isle Of Man IM3 4EP,Approved at Appeal
Erection of a block of 68 apartments with landscaping and parking and demolition of no 6 Summerhill to provide amended vehicular access,Refused,19-Jun-12,Department Application,03-Aug-11,14-Jun-12,11/01091/B,Former Tours (IOM) Site Summerhill Quarry Summerhill Douglas Isle Of Man IM2 4PF,Department Application refused
Creation of temporary construction access from Ballanard Road (Retrospective),Permitted,22-Nov-11,Head of Development Management,05-Dec-11,30-Apr-12,11/01134/B,Ballanard Woods Residential Development  Ballanard Road Douglas Isle Of Man  ,Refused at Appeal
Part conversion of garage and extension to rear elevation to provide additional living accommodation,Refused,18-Oct-11,Planning Committee,26-Oct-11,05-Mar-12,11/01136/B,2 Northcroft Malew Street Castletown Isle Of Man IM9 1LT ,Refused at Appeal
Erection of a first floor extension over existing garage,Refused,28-Sep-11,Director Delegation,05-Oct-11,05-Mar-12,11/01137/B,2 Northcroft Off Malew Street Castletown Isle Of Man IM9 1LT ,Refused at Appeal
Alterations to existing building to form a dwelling (amendment to PA 09/01850/B),Permitted,29-Sep-11,Director Delegation,13-Oct-11,05-Mar-12,11/01154/B,Building At Curpheys Field St Marks Road Ballasalla Isle Of Man IM9 3EF ,Approved at Appeal
Erection of a dwelling to replace existing garage/store,Refused,15-Nov-11,Head of Development Management,25-Nov-11,26-Apr-12,11/01165/B,The Garage Esplanade Lane Central Promenade Douglas Isle Of Man IM2 4LP ,Refused at Appeal
Alterations and extensions to dwelling including improvements to vehicular access and alteration to retaining wall,Refused,24-Oct-11,Head of Development Management,03-Nov-11,07-Aug-12,11/01180/B,Montana South Cape Laxey Isle Of Man IM4 7JB ,Appeal Withdrawn
Erection of detached dwelling,Permitted,29-Sep-11,Director Delegation,10-Oct-11,23-Jan-12,11/01199/B,Land Adjacent To Kerrowkeil Patrick Road St Johns Isle Of Man  ,Refused at Appeal
Erection of stables,Permitted,24-Oct-11,Head of Development Management,11-Nov-11,08-Mar-12,11/01207/B,Field 624472 Glen Shone Glen Mona Ramsey Isle Of Man  ,Approved at Appeal
Alteration and extension to rear annex to form a dwelling,Refused,02-Nov-11,Head of Development Management,04-Nov-11,08-Mar-12,11/01211/B,6 Sydney Street Douglas Isle Of Man IM1 3JB,Refused at Appeal
Alteration and extension to existing detached garage to provide ancillary living accommodation,Refused,24-Oct-11,Director Delegation,08-Nov-11,15-Mar-12,11/01223/B,Sandygate House Clenagh Road Sandygate Ramsey Isle Of Man IM7 3AF,Refused at Appeal
"Erection of a detached garage and store with study / office above, creation of a vehicular access and drive and extension of domestic curtilage",Refused,19-Oct-11,Head of Development Management,01-Nov-11,29-Feb-12,11/01229/B,Harleys Killane Ballaugh Isle Of Man IM7 5BB ,Refused at Appeal
Erection of an extension and conversion of bedroom to provide tourist accommodation (partial retrospective),Permitted,11-Nov-11,Planning Committee,28-Nov-11,26-Apr-12,11/01243/B,Cherrywood Guest House 12 Barrule Park Ramsey Isle Of Man IM8 2BN,Approved at Appeal
"Residential development of 100 dwellings with highway and drainage infrastructure, new school field and playground, public open space and landscaping",Refused,27-Feb-12,Department Application,07-Sep-11,23-Feb-12,11/01250/B,"Part Field's 234267, 234456, 234555 & 230578, Parts Of Adjacent Gardens, School Grounds & Adjacent Highway, Main Road Playground, Part Public Car Park & Verge/hedge Of Slieau Curn Park, Kirk Michael",Department Application refused
Erection of advertising sign (Retrospective),Refused,24-Oct-11,Director Delegation,14-Nov-11,08-Mar-12,11/01256/D,Field 521888 Adjacent To Cooil Road  Isle Of Man Business Park  Douglas Isle Of Man  ,Refused at Appeal
Erection of three flag poles (Retrospective),Permitted,22-Nov-11,Head of Development Management,05-Dec-11,30-Apr-12,11/01257/B,Land Adjacent To Site Access Ballanard Woods   Ballanard Road Douglas Isle Of Man  ,Refused at Appeal
Demolition of existing chalet dwelling and replacement in new location with a single storey dwelling,Refused,16-Nov-11,Planning Committee,14-Nov-11,05-Mar-12,11/01261/B,Field 134924 Lower Glentramman Farm Garey Road Garey Ramsey Isle Of Man  ,Refused at Appeal
Extension to rear elevation,Permitted,29-Nov-11,Head of Development Management,14-Dec-11,30-Apr-12,11/01264/B,31 New Road Laxey Isle Of Man IM4 7BG,Approved at Appeal
Erection of a two storey extension to dwelling,Permitted,24-Oct-11,Director Delegation,07-Nov-11,15-Mar-12,11/01271/B,Bibaloe View 68 Groudle Road Onchan Isle Of Man IM3 2EZ ,Approved at Appeal
