"osm_id","osm_type","osm_url","lat","lon","addr:unit","addr:housename","addr:housenumber","addr:substreet","addr:street","addr:locality","addr:place","addr:city","addr:postcode","addr:country"
"11737422225","node","https://osm.org/node/11737422225","54.092048","-4.627416","B","","","","Aalin Court","","Balthane Industrial Estate","Ballasalla","IM9 2AJ","IM"
"38300992","way","https://osm.org/way/38300992","54.09922716832077","-4.6340085423221185","","","","","Abbey Road","","","Ballasalla","IM9 3DB","IM"
"59540949","way","https://osm.org/way/59540949","54.08308506803151","-4.613337450986419","","The Old Clubhouse","","","Airport Road","","","Derbyhaven","IM9 1TU","IM"
"12173926513","node","https://osm.org/node/12173926513","54.158586","-4.487464","","Cleveland Lodge","1","","Albany Road","","","Douglas","IM2 3AJ",""
"1323963222","way","https://osm.org/way/1323963222","54.15766910584328","-4.4907126797817485","","","29","","Albany Road","","","Douglas","IM2 3NF","IM"
"1304642233","way","https://osm.org/way/1304642233","54.15761894855171","-4.49191442719916","","","32","","Albany Road","","","Douglas","IM2 3NA","IM"
"1304642232","way","https://osm.org/way/1304642232","54.15756393409628","-4.492007240165331","","","34","","Albany Road","","","Douglas","IM2 3NA","IM"
"12251397694","node","https://osm.org/node/12251397694","54.158891","-4.487455","","","4","","Albany Road","","","Douglas","IM2 3AN",""
"1304642225","way","https://osm.org/way/1304642225","54.157181996111696","-4.492998038351913","","","44","","Albany Road","","","Douglas","IM2 3NA","IM"
"1304642224","way","https://osm.org/way/1304642224","54.15713185213497","-4.493076307869334","","","46","","Albany Road","","","Douglas","IM2 3NA","IM"
"1304642226","way","https://osm.org/way/1304642226","54.15708118639909","-4.493162674344026","","Bleng","48","","Albany Road","","","Douglas","IM2 3NA","IM"
"1091731579","way","https://osm.org/way/1091731579","54.22058902840235","-4.689068370765654","","Peel Medical Centre","","","Albany Road","","","Peel","IM5 1HU",""
"147184675","way","https://osm.org/way/147184675","54.221471161566924","-4.690153627522292","","","","","Albany Road","","","","IM5 1JS",""
"102890400","way","https://osm.org/way/102890400","54.321382232930745","-4.385512021311466","","Raymotors House","","","Albert Road","","","Ramsey","IM8 2EL","IM"
"102890354","way","https://osm.org/way/102890354","54.321240866428155","-4.38472375989357","","","","","Albert Road","","","Ramsey","IM8 2EL","IM"
"102890406","way","https://osm.org/way/102890406","54.32141221304304","-4.38633884257282","","","","","Albert Road","","","Ramsey","IM8 2EL","IM"
"102890379","way","https://osm.org/way/102890379","54.32127876562729","-4.385026587159594","","Iris House","1","","Albert Square","","","Ramsey","IM8 2EN",""
"102890382","way","https://osm.org/way/102890382","54.32127542686193","-4.3849307857374775","","The Mannin","2","","Albert Square","","","Ramsey","IM8 2EN",""
"102890387","way","https://osm.org/way/102890387","54.321270444702165","-4.38483135949098","","","3","","Albert Square","","","Ramsey","IM8 2EN",""
"152690555","way","https://osm.org/way/152690555","54.151901487951804","-4.482247012048193","","","10","","Albert Street","","","Douglas","IM1 2QA","IM"
"152690560","way","https://osm.org/way/152690560","54.151902561797755","-4.482338938202247","","","12","","Albert Street","","","Douglas","IM1 2QA","IM"
"10743252790","node","https://osm.org/node/10743252790","54.151848","-4.482425","","Court View Chambers","14","","Albert Street","","","Douglas","IM1 2QA","IM"
"152690568","way","https://osm.org/way/152690568","54.151903420318725","-4.482431079681275","","","14","","Albert Street","","","Douglas","IM1 2QA","IM"
"152690565","way","https://osm.org/way/152690565","54.151905138461544","-4.482515861538461","","","16","","Albert Street","","","Douglas","IM1 2QA","IM"
"152690571","way","https://osm.org/way/152690571","54.15188738073394","-4.482601619266055","","","18","","Albert Street","","","Douglas","IM1 2QA","IM"
"82614404","way","https://osm.org/way/82614404","54.151892182730926","-4.481899317269076","","Chancery House","2","","Albert Street","","","Douglas","IM1 2QA","IM"
"10743252792","node","https://osm.org/node/10743252792","54.151857","-4.481901","","Chancery House","2","","Albert Street","","","Douglas","IM1 2QA","IM"
"10743252793","node","https://osm.org/node/10743252793","54.151925","-4.481905","","Chancery House","2","","Albert Street","","","Douglas","IM1 2QA","IM"
"152690574","way","https://osm.org/way/152690574","54.15188199061928","-4.4826863027423896","","","20","","Albert Street","","","Douglas","IM1 2QA","IM"
"152690563","way","https://osm.org/way/152690563","54.15188819266054","-4.48199380733945","","","4","","Albert Street","","","Douglas","IM1 2QA",""
"152690581","way","https://osm.org/way/152690581","54.15190065714285","-4.482078842857143","","","6","","Albert Street","","","Douglas","IM1 2QA","IM"
"152690578","way","https://osm.org/way/152690578","54.151886499999996","-4.482161","","","8","","Albert Street","","","Douglas","IM1 2QA","IM"
"102638491","way","https://osm.org/way/102638491","54.320856140577575","-4.381256907339441","","Bankers Court","1","","Albert Street","","","Ramsey","IM8 1JF","IM"
"102785176","way","https://osm.org/way/102785176","54.32091441509678","-4.381591668407374","","","3","","Albert Street","","","Ramsey","IM8 1JE","IM"
"99323327","way","https://osm.org/way/99323327","54.3206421208309","-4.381780564333124","","","","","Albert Street","","","Ramsey","IM8 1JL","IM"
