Decision,PA Ref,PROPOSAL,Decision issued,Determining Body,Property Address
Permitted,17/01307/B,Installation of an extractor system (retrospective),29-Mar-22,Principal Planner- North (CB),16 Michael Street Peel Isle Of Man IM5 1HB
Application Withdrawn,20/00837/B,Restoration of existing silt store to create and maintain a permanent facility for storage and monitoring of dredged material from Peel Marina,25-Apr-22,Withdrawn,Poortown Silt Store Poortown Road Peel Isle Of Man  
Refused,20/01080/B,"Residential development of 138 dwellings with associated drainage, highway works and public open space",04-May-22,Planning Committee,"Land At Lower Milntown (Fields 134278, 134279, 134280, 134281, 134282, 134283, 134284, 134288 & 134289) And Strip Of Land Between Auldyn River & Auldyn Meadows, Off Lezayre Road, Lezayre & Ramsey Isle Of Man  "
Permitted,20/01095/B,Erection of two storey extension to rear elevation and the creation of rear garden terracing,29-Mar-22,Planning Committee,Cilcen The Hope St. Johns Isle Of Man IM4 3AT 
Application Withdrawn,20/01192/B,Erection of agricultural building,11-May-22,Withdrawn,Ballalonna Farm Dalby Isle Of Man IM5 3BW 
Refused,20/01297/B,Creation of access tracks across agricultural fields,19-May-22,Head of Development Management,"Fields 314218, 314225, 314220, And 314219 Staarvey Road Peel Isle Of Man  "
Refused,20/01390/B,Erection of 3 detached dwellings,07-Jan-22,Director 2017+,Land Adjacent To Arbory Vicarage Main Road Ballabeg Castletown Isle Of Man IM9 4EE 
Permitted,20/01467/B,"Erection of a building to provide exhibition space, retail, apartments and restaurant with associated parking spaces (relating to PA 19/00373/A)",13-Sep-22,Planning Committee,The Former Marine Biological Station Breakwater Road Port Erin Isle Of Man IM9 6JA 
Refused,20/01525/B,Conversion of residential dwelling (class 3.3) to a House of Multiple Occupancy (class 3.5),21-Apr-22,Director 2017+,9 Windsor Road Douglas Isle Of Man IM1 3LD
Permitted,21/00036/B,"Conversion of existing stable, store and kennel buildings to provide 12 tourist accommodation units (class 3.6), wellness spa (Class 4.1), caf‚ (class 1.3) and a residential apartment (class 3.4) with associated parking and access, creation of an equestri",16-May-22,Planning Committee,Oatlands Farm Oatlands Road Santon Isle Of Man IM4 1ED 
Application Withdrawn,21/00051/B,Installation of a marquee to provide weatherproof storage for plant and machinery,28-Jan-22,Withdrawn,DoI Depot  Litts Site East Baldwin Braddan IM4 5EW
Permitted,21/00064/B,Conversion of residential care home (class 3.2) to self-contained apartments & a dwelling (class 3.3 and 3.4) with associated parking,13-Dec-22,Planning Committee,Glen House Residential Home New Road Laxey Isle Of Man IM4 7BE
Permitted,21/00106/B,"Erection of 26 two bed apartments and 6  one bed apartments with associated car parking, vehicle access and landscaping",28-Jan-22,Principal Planner - South (JS),Land At Snugborough Farm Cronk Gennal Union Mills Isle Of Man  
Application Withdrawn,21/00163/B,Erection of a detached dwelling with alterations to associated residential curtilage,27-Jan-22,Withdrawn,Ballacroak Farm Mullinaragher Road St Marks Ballasalla Isle Of Man IM9 3AQ
Permitted,21/00228/A,"Approval in principle for the erection of a sports centre comprising 50m swimming pool, 60m running track, sports hall and gym with changing facilities with associated parking addressing siting, access, design and external appearance",31-May-22,Planning Committee,Field West Of Junior House King Williams College Grounds Castletown Isle Of Man IM9 1TP 
Permitted,21/00278/B,"Erection of 23 dwellings with associated access, parking, open space and landscaping",02-Sep-22,Planning Committee,Field No.210401 Ballagarraghyn Bretney Road Jurby Isle Of Man
Permitted,21/00322/B,Erection of a two storey self- storage facility with associated loading and unloading bays,23-Feb-22,Planning Committee,Southwest Of Unit 298A Jurby Industrial Estate Jurby Isle Of Man IM7 3BD 
Permitted,21/00365/A,Approval in principle for the erection of 1 detached bungalow addressing means of access,03-Oct-22,Planning Committee,Field 312909 And 312711 Main Road St Johns Isle Of Man  
Permitted,21/00386/B,"Amendments to residential property (Dwelling One) of approved PA 18/00718/B, Alterations and extensions to create two dwellings from existing house and barns (retrospective).",19-Dec-22,Principal Planner - South (JS),Ballacallin Beg Cottage Foxdale Road Garth Crosby Isle Of Man IM4 2HN
Permitted,21/00408/B,"Variation of conditions 1 & 2 of PA 18/00763/A, Approval in principle for the construction of five dwellings addressing means of access, to extend the period of permission by two years",07-Jan-22,Director 2017+,Part Of Field 214287 The Threshold Jurby Isle Of Man  
Application Withdrawn,21/00438/B,Creation of living accommodation,07-Jan-22,Withdrawn,Stables Ballaclucas Farm Top Road Crosby Isle Of Man IM4 4HN 
Permitted,21/00510/B,Retrospective application regarding the erection of mast and other structures in connection with PA 19/00129/B,18-Feb-22,Principal Planner - Enf (AM),Carnane (former) BBC Transmitter Site Old Castletown Road Douglas Isle Of Man IM4 1AB 
Refused,21/00620/B,Conversion of 2 existing flats into 4 residential apartments with additional tourist use and change of use of basement to an office,17-Jan-22,Principal Planner- North (CB),2 Marathon Terrace Queens Promenade Douglas Isle Of Man IM2 4NH 
Refused,21/00682/B,Erection of equestrian stables,17-Feb-22,Head of Development Management,Field 321619 Foxdale Road Garth Crosby Isle Of Man IM4 2HL
Application Withdrawn,21/00694/B,Erection of a dwelling with associated features,07-Mar-22,Withdrawn,Ballaoates Farm Ballavagher Road St Johns Isle Of Man IM4 3JE
Permitted,21/00717/B,Erection of a single storey extension to side elevation,18-Mar-22,Planning Committee,27 Cannan Court Kirk Michael Isle Of Man IM6 1FA 
Permitted,21/00728/B,"Alterations, erection of two storey extensions, creation of balcony and extension of existing side balcony",04-Jan-22,Planning Committee,White Cottage King Edward Road Onchan Isle Of Man IM3 2JY 
Permitted,21/00731/B,Creation of Civic Amenity Site,25-Feb-22,Planning Committee,Recycling And Storage Compound Richmond Hill Douglas Isle Of Man IM4 1JH 
Permitted,21/00737/B,Erection of a detached dwelling,29-Mar-22,Planning Committee,Vacant Plot (Plot 3)  Plot Adjacent To Hazelwood House Ballaragh Road Laxey IM4 7PH
Permitted,21/00764/B,"Alterations and erection of extension to main dwelling, including the conversion of existing garage/store for tourist accommodation (B&B) and demolition of existing stable building and replaced with a garage.",17-Mar-22,Planning Committee,Barony View Glen Mona Loop Road Glen Mona Ramsey Isle Of Man IM7 1HG
Permitted,21/00772/B,Erection of a fence (retrospective),14-Feb-22,Principal Planner - South (JS),14 Aspen Drive Ballawattleworth Peel Isle Of Man IM5 1WT 
Permitted,21/00778/C,Change of use of lower ground floor to tourist accommodation,19-Oct-22,Department Application,Cregg Mill Silverdale Road Ballasalla Isle Of Man IM9 3DS
Permitted,21/00780/B,Erection of a detached dwelling with associated vehicular access and off road parking,28-Jan-22,Head of Development Management,South West Of Oatland Bungalow (Cottage) Oatlands Road Andreas Isle Of Man IM7 4ER 
Permitted,21/00785/B,Erection of new entrance gate piers and walls to existing vehicular access (partial retrospective),27-Oct-22,Principal Planner- North (CB),Carrick Sulby Glen Sulby Isle Of Man IM7 2AZ 
Refused,21/00796/B,"Creation of new vehicle access, erection of boundary fence and landscaping",24-Jun-22,Head of Development Management,Close Jairg Beg Old Church Road Crosby Isle Of Man IM4 2HA
Application Withdrawn,21/00797/B,Creation of new vehicle driveway with parking/ turning area.,25-Feb-22,Withdrawn,Cliff View Pinfold Hill Laxey Isle Of Man IM4 7HL
Permitted,21/00799/B,"Alterations, erection of double garage with living space above and erection of extension to lower ground floor",17-Jan-22,Head of Development Management,Geay Varrey Clay Head Road Baldrine Isle Of Man IM4 6DL
Permitted,21/00821/B,Creation of a driveway and vehicular access,19-May-22,Principal Planner- North (CB),37 Bemahague Avenue Onchan Isle Of Man IM3 4AP
Refused,21/00827/B,Conversion from a retail/leisure to a restaurant (class 1.3),23-Feb-22,Planning Committee,Villa Marina Colonnade Unit 1-3 Villa Marina Arcade Douglas Isle Of Man IM1 2HN 
Permitted,21/00840/B,Erection of a detached dwelling with integral garage,17-Mar-22,Planning Committee,Plot Rear Of Sundown And East Of 129 Dreeym Beary Douglas Isle Of Man IM2 5LE 
Refused,21/00847/A,Approval in principal to develop six town houses,04-Jan-22,Planning Committee,Site To Rear Of Queens Hotel Switzerland Road Douglas Isle Of Man  
Refused,21/00857/B,Erection of a dwelling,29-Mar-22,Planning Committee,Pound Lane Depot Castletown Road Port St. Mary Isle Of Man IM9 5LT
Permitted,21/00858/B,Erection of a detached dwelling with integral garage,03-Feb-22,Planning Committee,Plot South Of Shandrum And Adjacent To Existing Stables / Agricultural Building Glen Auldyn Ramsey Isle Of Man IM7 2AF 
Permitted,21/00883/GB,"Alterations and conversion of existing garage to rear elevation into parking spaces and internal alterations (in association with PA 21/00886/CON, RB 187)",05-Jan-22,Director 2017+,7 Victoria Terrace Douglas Isle Of Man IM2 4EU
Permitted,21/00886/CON,"Alterations and conversion of existing garage to rear elevation into parking spaces and internal alterations (in association with PA 21/00883/GB, RB 187)",05-Jan-22,Director 2017+,7 Victoria Terrace Douglas Isle Of Man IM2 4EU
Permitted,21/00893/B,Erection of proposed single storey extension to rear elevation of dwelling,25-Feb-22,Director 2017+,Greenhill Jurby Road Andreas Isle Of Man IM7 2EJ 
Permitted,21/00898/B,Erection of ancillary timber cabin and widening of existing vehicle access,06-Apr-22,Head of Development Management,Land View Strang Hill Strang Douglas Isle Of Man IM4 4NX 
Permitted,21/00904/B,"Conversion of barn to provide garaging, storage, space for the running of a business and ancillary living accommodation",18-Mar-22,Planning Committee,Ballamoar Farm Doarlish Ard Foxdale Isle Of Man IM4 3BH 
Permitted,21/00918/B,Construction of decking (retrospective),07-Feb-22,Planning Committee,Flat 1 8 Fort William Head Road Douglas Isle Of Man IM1 5BQ 
Permitted,21/00935/CON,"Registered Building consent for electrical and plumbing refit at second floor level, and alterations to the floor layout at second floor level and to the rear of the ground floor kitchen",01-Mar-22,Director 2017+,Glen Mooar House Glen Mooar Road St Johns Isle Of Man IM4 3AQ 
Application Withdrawn,21/00950/B,Alterations and erection of a new dwelling with associated access,07-Nov-22,Principal Planner- North (CB),1 Harcroft Meadow Douglas Isle Of Man IM2 1JS 
Refused,21/00957/B,"Erection of a stable block, creation of associated paddock / hard standing and widening of access",18-May-22,Principal Planner - South (JS),Field 321618 Garth Road Crosby Isle Of Man IM4 2HB 
Refused,21/00961/B,Creation of a vehicular access,03-Feb-22,Planning Committee,Lower Playing Field Nobles Park Adjacent To St Ninians Road Douglas Isle Of Man  
Permitted,21/00963/B,Conversion of existing workshop into ancillary accommodation (part retrospective),24-Mar-22,Head of Development Management,Seacliffe Old Castletown Road Port Soderick Isle Of Man IM4 1BB 
Certificate of Lawfulness AGREED,21/00967/LAW,Certificate of Lawful development for the installation of replacement windows,17-Mar-22,Principal Planner - Enf (AM),Mannanan House Market Square Castletown Isle Of Man  
Permitted,21/00986/B,Increase of residential curtilage,03-Feb-22,Planning Committee,Yn Thie My Chree 36 Mines Road Laxey Isle Of Man IM4 7NH 
Application Withdrawn,21/00992/B,Erection of four detached dwellings with garages and associated access road,05-May-22,Withdrawn,Ashwood Ballamenagh Road Baldrine Isle Of Man IM4 6AL
Permitted,21/00993/CON,Registered Building consent for demolition of building (retrospective),08-Nov-22,Planning Committee,Auldyn House 24 Parliament Street Ramsey Isle Of Man IM8 1AP
Permitted,21/01003/B,"Alterations, erection of rear extension with terrace above, installation of a rear dormer and creation of a window to side elevation",29-Mar-22,Head of Development Management,21 Cronkbourne Avenue Douglas Isle Of Man IM2 3LA
Permitted,21/01005/B,Demolition of 22 Parliament Street and 6 West Quay,08-Nov-22,Planning Committee,22 Parliament Street And  6 West Quay Ramsey IM8 1AP
Permitted,21/01006/CON,Registered Building consent for demolition elements to PA 21/01005/B,08-Nov-22,Planning Committee,22 Parliament Street And  6 West Quay Ramsey IM8 1AP
Permitted,21/01007/B,Creation of raised decking with glazed screening for external seating area,25-Mar-22,Principal Planner- North (CB),The Barbary Coast Douglas Chambers North Quay Douglas Isle Of Man IM1 4LA 
Permitted,21/01008/B,"Alterations including the removal of a chimney stack, replacement of existing roof tiles, alterations to roof pitch, and window alterations",07-Jan-22,Principal Planner- North (CB),Westville Tynwald Road Peel Isle Of Man IM5 1JN
Permitted,21/01011/B,Installation of a replacement front door,18-Feb-22,Head of Development Management,Raldis Dandy Hill Port Erin Isle Of Man IM9 6HN
Permitted,21/01017/B,Erection of an extension to side elevations and installation of replacement roof tiles,12-Apr-22,Principal Planner - South (JS),Ravensdale Strang Road Union Mills Isle Of Man IM4 4NW
Permitted,21/01021/B,"Removal of rear chimney stacks and rebuilding of front chimney stacks associated with Nos. 12 Westminster Terrace, which are located within roof spaces of Nos. 13 & Nos. 11 Westminster Terrace, and re-roofing works",23-Feb-22,Head of Development Management,"13, 12 & 11 Westminster Terrace Douglas Isle Of Man IM1 4ED"
Permitted,21/01025/B,Erection of extension to existing warehouse and remodelling of service yard and overflow car park (Alterations to PA 19/01130/B),21-Mar-22,Principal Planner - South (JS),Tesco Store Lake Road Douglas Isle Of Man IM1 5AF
Permitted,21/01026/B,Erection of a detached agricultural building,23-Feb-22,Head of Development Management,Mylvoirrey Glen Road Ballaugh Isle Of Man IM7 5JD
Permitted,21/01034/B,Erection of a ground floor and first floor extension with associated first floor balcony,04-Feb-22,Head of Development Management,Geay Varrey Four Roads Port St. Mary Isle Of Man IM9 5LQ
Permitted,21/01036/B,Erection of a detached shed/boathouse,10-May-22,Planning Committee,No.5 Balnahow Farm Cottage Balnahow Farm Balnahowe Santon Isle Of Man IM4 1HN
Permitted,21/01042/B,Widening of a vehicular access,17-Jan-22,Principal Planner - South (JS),Dreem Faaie Ballacraine St Johns Isle Of Man IM4 3LS 
Permitted,21/01044/B,Erection of a First Floor rear dormer,18-Jan-22,Principal Planner- North (CB),17 Birch Hill Grove Onchan Isle Of Man IM3 4EL
Application Withdrawn,21/01048/MCH,Minor Change application to PA 99/00963/B involving replacement of existing fire exit door with uPVC fire exit window and removal of existing external staircase,22-Aug-22,Withdrawn,Seacliffe Old Castletown Road Port Soderick Isle Of Man IM4 1BB 
Permitted,21/01050/C,Change of use of land from agricultural to dog walking field,20-Jan-22,Planning Committee,Field 321821 Ballanicholas Garth Crosby Isle Of Man  
Permitted,21/01052/B,"Alterations, erection of ground floor extensions and creation of a first floor to dwelling",28-Jan-22,Head of Development Management,7 Ballagale Avenue Surby Port Erin Isle Of Man IM9 6QJ
Permitted,21/01055/GB,Renovation of dwelling to include re roofing & removal of side porch (in association with PA 21/01056/CON) RB.171,21-Feb-22,Head of Development Management,Old School House Main Road Sulby Isle Of Man IM7 2HP 
Permitted,21/01056/CON,Registered Building Consent for renovation of dwelling to include re roofing & removal of side porch (in association with PA 21/01055/GB) RB.171,18-Feb-22,Head of Development Management,Old School House Main Road Sulby Isle Of Man IM7 2HP 
Permitted,21/01057/B,"Alterations, erection of extension with balcony above and installation of a dormer",13-Jan-22,Head of Development Management,5 Ballagarey Close Glen Vine Isle Of Man IM4 4EG 
Permitted,21/01058/B,Erection of detached garage/carport,06-Jan-22,Director 2017+,Old School House Main Road Sulby Isle Of Man IM7 2HP 
Permitted,21/01059/B,Alterations and erection of stables,07-Jan-22,Director 2017+,Strenaby Farm Lonan Church Road Laxey Isle Of Man IM4 7JX
Refused,21/01060/B,Creation of off road parking area (part retrospective),25-Feb-22,Director 2017+,21 Birch Hill Avenue Onchan Isle Of Man IM3 4EP
Permitted,21/01061/B,Erection of two cattle shelters and two silage pits,07-Feb-22,Planning Committee,Field 310653 And 310651 Staarvey Road Peel Isle Of Man  
Permitted,21/01062/B,Erection of a detached dwelling with integral garage,25-Mar-22,Principal Planner- North (CB),Plot West Of 10 Westlands Close Ramsey Isle Of Man IM8 3PU 
Permitted,21/01063/B,Erection of a detached dwelling,02-Mar-22,Principal Planner - Enf (AM),Plot To Rear Of Greenmantle Dreeym Beary Douglas Isle Of Man  
Permitted,21/01067/B,Replacement of existing conservatory with a larger single storey side extension (amendment to PA 19/01215/B),28-Jan-22,Principal Planner - South (JS),42 Close Famman Port Erin Isle Of Man IM9 6BJ
Permitted,21/01072/B,Alterations and erection of two storey extensions to dwelling,25-Feb-22,Director 2017+,Dromderrig Howe Road Port St. Mary Isle Of Man IM9 5LB
Permitted,21/01079/B,Creation of driveway and vehicular access,15-Jul-22,Principal Planner - South (JS),4 Mines Road Foxdale Isle Of Man IM4 3ET
Permitted,21/01081/B,Erection of an agricultural building to replace existing buildings,30-Mar-22,Head of Development Management,Site Adjacent Rheayrt Ny Cronk Balleira Road Kirk Michael Isle Of Man IM6 1EE
Permitted,21/01082/B,Alterations and erection of ground and first floor extensions,10-Jan-22,Principal Planner- North (CB),35 Cronk Drean Douglas Isle Of Man IM2 6AU
Permitted,21/01084/B,Alterations and erection of an extension to the rear elevation,26-Aug-22,Principal Planner - South (JS),8 Glenfaba Road Peel Isle Of Man IM5 1BU
Permitted,21/01093/B,"Alterations including replacement and removal of windows and patio doors, removal of 2 chimney stacks, removal of existing front porch and extension to existing patio",08-Feb-22,Head of Development Management,Clarecourt Marathon Road Douglas Isle Of Man IM2 4HL 
Permitted,21/01096/B,Alterations and erection of a 2 storey extension to side elevation,10-Jan-22,Principal Planner- North (CB),12 Devonshire Crescent Douglas Isle Of Man IM2 3RD
