"addr:city","addr:housename","addr:place","addr:postcode","amenity","contact:facebook","name","id","lon","lat","addr:country","addr:street","healthcare","website","addr:housenumber","fee","name:gv","operator","tourism","alt_name","wikidata","wikimedia_commons","place","source","source:addr:postcode","guest_house","source:addr","source:alt_name","old_name","currency:GBP","currency:XBT","description","email","name:en","payment:lightning","payment:lightning_contactless","payment:onchain","phone","survey:date","building","addr:locality","craft","shop","contact:phone","brand","brand:wikidata","trade","internet_access","internet_access:fee","addr:substreet","cuisine","female","takeaway","atm","brand:wikipedia","charity","opening_hours","operator:type","leisure","fixme","was:leisure","wheelchair","rooms","contact:website","office","contact:instagram","children","smoking","addr:unit","building:use","emergency","museum","entrance","healthcare:speciality","level","outdoor_seating","toilets:wheelchair","wheelchair:description","delivery","was:amenity","seasonal","note","contact:email","club","sport","historic","listed_status","material","memorial","ref:registered_building","url","url:registered_building","addr:plot","veterinary:for","operator:wikidata","addr:floor","addr:suite","animal","cafe","theme","contact:twitter","was:shop","postal_code","mapillary","source:addr:housenumber","source:addr:substreet","social_facility","social_facility:for","source:addr:housename","barrier","animal_boarding","ref:charity","dispensing","man_made","landuse","entrance:colour","name:entrance","provided_for:woman","aerospace:product","company","computer:data","lunar:product","massage","motorcycle:repair","strapline","abutters","highway","surface","aeroway","access","castle_type","name:fa","name:fr","name:ru","ref:GB:imher","url:imher","wikipedia","denomination","religion","golf:course","layer","zoo","golf:par","building:levels","building:material","roof:levels","start_date","building:colour","roof:material","studio","roof:orientation","roof:shape","source:outline","business","telecom","food","real_ale","operator:short","operator:wikipedia","seamark:name","seamark:rescue_station:category","seamark:type","name:es","name:nl","ruins","not:addr:postcode","public_transport","railway","heritage:website","note:registered_building","beer_garden","brewery","golf","architect","source:name","not:brand:wikidata","car_repair","short_name","wheelchair:url","disused:brand","disused:brand:wikidata","disused:brand:wikipedia","disused:operator","indoor","mill","source:geometry","source:address","historic:tourism","name:lt","name:uk","drive_through","building:part","addr:suburb","contact:mobile","addr:lot","award:AA","award:visit_isle_of_man","utility","architect:wikidata","architect:wikipedia","source:addr:street","internet_access:operator","internet_access:ssid","addr:flats","contact:fax","government","tickets","waiting_area","operator:website","not:addr:housenumber","male","scuba_diving:filling","scuba_diving:rental","scuba_diving:repair","boat:rental","boat:type","paddleboard_rental","standup_paddleboard_rental","image","was:healthcare","clothes:repair","height","opening_hours:covid19","opening_hours:url","name:registered_building","generator:method","generator:source","generator:type","power","diocese","ref:dove","was:tourism","was:railway","unisex","animal_shelter","demolished:building","park_ride","parking","supervised","area","was:barrier","second_hand","note:addr:postcode","building:start_date","payment:contactless","payment:debit_cards","phone:out_of_hours","disused:shop","phone:helpline","dog","check_date","drink:cocktail","drink:coffee","branch","isced:level","official_name","clothes","covered","capacity","start_date:charity","recycling_type","country","caravans","glamping_pods","pets_allowed","static_caravans","tents","source:addr:name","addr:block","source:postal_code","was:building","changing_table","changing_table:fee","toilets","toilets:access","residential","personal_trainer","sauna","swimming_pool","disused:amenity","disused:name","self_service","product","was:man_made","house","construction","community_centre","shooting","boat","was:addr:housenumber","addr:housename:en","addr:housename:gv"
"Douglas","","","IM1 1JE","restaurant","","Gali Kitchen","5162989593","-4.484593","54.147663","","Bank Hill","","http://www.galikitchen.co.uk/","","","","","","","","","","","","","","","","","","","","","","","","+44 1624 613036","","","","","","","","","","","","Clinch's Court","indian","","","","","","","","","","","","","","","","","","","","","","","","","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Douglas","","","IM1 4QF","restaurant","","Mrs Yang's Restaurant","5162998754","-4.484598","54.147604","","Bank Hill","","http://www.mrsyangs.co.uk/","","","","","","","","","","","","","","","","","","","","","","","","+44 1624 886886","","","","","","","","","","","","Clinch's Court","asian","","","","","","Tu-Su 12:00-14:00,17:00-22:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","IM1 5EP","","","Browne Craine and Co","5331323721","-4.496706","54.151171","","Peel Road","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","company","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Peel","","","IM5 1HB","","","Balanced Health Clinic","5448644574","-4.693888","54.222583","","Michael Street","","","20/22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mo-Sa 09:00-19:00","","","","","","","","therapist","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Peel","","","IM5 1HB","cafe","","Duncan's Diner","5448647413","-4.693906","54.222717","","Michael Street","","","20/22","","","","","D.D's","","","","","","","","","","","","","","","","","","","","","","","","","","","","no","","","","","","","","","Mo-Sa 09:00-16:00","","","","","","","","","","","no","","","","","","","","no","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ramsey","","Saint Paul's Square","IM8 3AW","","","","5677599322","-4.378715","54.320607","IM","","","","22","","","","","","","","","","","","","","Francesco's 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","restaurant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Port Erin","","","IM9 6LB","","","5ifth Dimension Kitchens","5755429521","-4.75787","54.086587","IM","Marina Lane","","https://5dl.im","","","","","","","","","","","","","","","","","","","kevin@5dl.im","","","","","+44 7624 460069","","","","","furniture","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Andreas","Knock e Nean","","IM7 4JA","","","Andreas Christmas Trees","6123229686","-4.449531","54.385095","IM","Smeale Road","","https://www.facebook.com/pages/category/Local-Business/Andreas-Christmas-Trees-1204851189579353/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","garden_centre","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Andreas","","","IM7 3EJ","","https://www.facebook.com/BallakellyFarm","Ballakelly Farm","6213832686","-4.464275","54.368202","IM","Kiondroghad Road","","https://www.ballakelly.farm","","","","","","","","","","","","","Isle of Man Government Land Registry Land Transactions","","","","","","","","","","","","","","","","butcher","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kirk Michael","Michael United AFC","","IM6 1EE","","","Michael United AFC Campsite","6918863985","-4.587425","54.28691","","Balleira Road","","https://www.visitisleofman.com/trade/information/product-catch-all/michael-utd-afc-campsite-p1287451","","","","","camp_site","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ramsey","Carlton Grove","","IM8 2JA","","","Nine Carlton Grove","7151277585","-4.377193","54.318194","","Queen's Drive","","https://www.visitisleofman.com/stay/nine-carlton-grove-p1360601","9","","","Isle of Man Holiday Homes","apartment","","","","","","","","","","","","","","holidayhomes@manx.net","","","","","","","","","","","","","","","wlan","","Queen's Drive West","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"St John's","","The Hope","IM4 3AU","","","Ballahig Farm Meats","7732165998","-4.638269","54.186017","","","","https://www.ballahigfarm.im","","","","","","","","","","","","","","","","","","","","","","","","+44 1624 801222","","","","","butcher","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Douglas","Noble's Park Pavilion","Noble's Park","IM2 4BD","restaurant","","Talk of the Town","8215111483","-4.478727","54.16553","","","","https://talkofthetown.im/","","","","","","","","","","","","","","","","","","","","","","","","+44 1624 670430","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Douglas","Britannia House","","IM1 1JD","","","TBS Internet Ltd","8328949334","-4.484132","54.148702","IM","Athol Street","","https://www.tbs-certificates.co.uk/","","","","","","","","","","","","","","","","","","TBS Internet is a digital certificate aggregator and is specialized in digital signature solutions.","marianne.bonjour@tbs-internet.co.uk","","","","","+44-1624-640369","","","","","","","","","","","","","","","","","","","Mo-Fr 09:00-17:00","","","","","","","","company","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Douglas","","","IM1 2PG","clinic","","Finch Hill Health Centre","8922119933","-4.480113","54.152865","IM","Market Street","clinic","","","","","Manx Care","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","was Promenade Medical Centre, Finch Hill Health Centre moved here in 2021","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Douglas","Loft 11","","IM1 2EX","","","Loft 11","9023586433","-4.479372","54.152912","IM","Castle Street","","","11","","","","apartment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","enquiries@loft11.im","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","IM8 1BG","","","WS Mezeron","9235558642","-4.379195","54.322751","","East Quay","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","shipping_agent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Andreas","","","IM7 3EQ","","","Ayre Clay Target Club","9270605569","-4.473895","54.392103","IM","Blue Point","","https://ayreclaytargetclub.com/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sport","shooting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ramsey","","Churchtown","IM7 2AN","","","Lazayre Parish War Memorial","9294524227","-4.423659","54.319079","IM","","","","","","","","","","Q118188721","File:Lezayre church - geograph.org.uk - 32551.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","memorial","Registered","sandstone","war_memorial","319","https://www.iwm.org.uk/memorials/item/memorial/28267","https://www.gov.im/media/1373637/319-notice-and-entry-summary.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Union Mills","","","IM4 4AN","","","Saba's Glen Yurt","9332491586","-4.531051","54.168116","","Union Mills Main Road","","https://www.sabasglenyurt.com/","","","","","chalet","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Close Ny Howin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Port Erin","","","IM9 6HE","veterinary","","Strand Vets","9386045433","-4.759856","54.0849","IM","Strand Road","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","+44 1624 835424","","","","","","","","","","","","","Mo-Fr 08:30-18:30","","","","","","","https://www.strandvets.com/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","livestock;cow;sheep;goat;horse;pet;dog;cat;bird;rabbit;reptile;snake","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ramsey","Court House","","IM8 1JS","","","Ramsey War Memorial","9473024605","-4.38129","54.321387","IM","Parliament Street","","","","","","","","","Q118188723","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","memorial","Registered","sandstone","war_memorial","321","https://www.iwm.org.uk/memorials/item/memorial/67413","https://www.gov.im/media/1373640/321-notice-and-entry-summary.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Castletown","Courtyard office","Callow's Yard","IM9 1DQ","","","","9690706643","-4.654309","54.073807","IM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","main","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Crosby","","Crosby Meadows","IM4 2EE","","","Co-op Food","9952891795","-4.567011","54.183749","","","","https://www.coop.co.uk/store-finder/IM4-2EE/crosby-meadows","","","","The Co-operative Group","","","","","","","","","","","","","","","","","","","","+44 1624 852571","","","","","supermarket","","Co-op Food","Q3277439","","","","","","","","","","","Mo-Su 08:00-22:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Q117202","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Crosby","","Crosby Meadows","IM4 2EE","cafe","","Costa","9952891796","-4.566862","54.183667","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Costa","Q608845","","","","","coffee_shop","","yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Douglas","","Middle River Industrial Estate","IM2 1AL","cafe","https://www.facebook.com/foodtotruck/","Green Island Coffee","10017458753","-4.503105","54.147893","","","","","","","","","","","","","","","","","","","","","yes","","","","yes","yes","yes","+44 7624 234223","2022-09-24","","","","","","","","","","","","greek;coffee","","yes","","","","","","","","","","","","","","","","5","","","","","","","yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Douglas","5","","IM1 5AJ","","","Island Tyres & Autocare","10017522876","-4.482914","54.146445","","South Quay","","http://www.islandexhaustsystems.im/","7","","","","","","","","","","","","","","","","yes","","","","yes","yes","yes","+441624613322","2022-09-24","","","","car_repair","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Douglas","Tracey Bell Clinic","","IM1 3PE","dentist","","Tracey Bell Clinic","10018738330","-4.486371","54.153651","","Kensington Road","dentist","https://www.traceybell.co.uk/","","","","","","","","","","","","","","","","","yes","","","","yes","yes","yes","+441624613323","2022-09-24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ramsey","","","IM8 2EE","bar","","The Fynoderee Distillery","10048314648","-4.38159","54.320194","","Parsonage Road","","https://fynoderee.com/","","","","","","","","","","","","","","","","","yes","","","","yes","yes","yes","+441624812756","2022-09-23","","","distillery","alcohol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Port Erin","The Showroom","","IM9 6AE","","","Franklins","10048327440","-4.756518","54.085723","IM","Station Road","","https://www.franklins.co.im/","","","","","","","","","","","","","","","","","yes","","","","no","no","yes","+44 1624 830800","2022-09-24","","","","car","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Douglas","","","IM1 2LY","","","Games Central","10049617008","-4.478584","54.151874","","Loch Promenade","","https://www.facebook.com/gamescentraliom/","31","","","","","","","","","","","","","","","yes","yes","Adults and kids gaming parties, or just pop in for a play. Latest Xbox X & PS4 games","info@ellanvanninhotel.im","","yes","yes","yes","+44 1624 674824","2022-10-31","","","","","","","","","","","","","","","","","","","","amusement_arcade","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Douglas","","","IM1 2AG","cafe","","Manx Cat Cafe","10134769069","-4.481042","54.148683","IM","Church Street","","https://www.manxcatcafe.co.uk/","6","","","","","","","","","","","","","","","","yes","","visit@manxcatcafe.co.uk","","yes","yes","yes","07624 292122","2022-10-23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","cat","animal","cat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
