Decision,PA Ref,PROPOSAL,Decision issued,Determining Body,Property Address
Application Withdrawn,16/00343/B,Re-opening of access with associated works,16-Jul-20,Withdrawn,Entrance To Jurby Airfield  Ballavarran Road Jurby Isle Of Man  
Application Withdrawn,17/00961/B,Creation of a motocross track with associated car park and paddock,16-Jul-20,Withdrawn,Land At Former Jurby Airfield Jurby Isle Of Man  
Deemed withdrawn,17/01165/A,Approval in principle for the creation of a skatepark,12-Mar-20,Withdrawn,Proposed Skatepark Clifton Road North Port St. Mary Isle Of Man  
Refused,17/01170/B,Demolition of Church Hall and clearance of site,07-Jan-20,Planning Committee,Andreas Church Hall Andreas Village Isle Of Man IM7 4EZ 
Permitted,17/01308/A,Approval in principle for the construction of 24 apartments,08-Sep-20,Planning Committee,Warehouse & Premises Millmount Douglas Isle Of Man IM2 1HD
Permitted,17/01316/B,Approval to use 80 square metres of garden centre for sale of bulky goods including electric bicycles and petrol utility vehicles (retrospective),10-Sep-20,Planning Committee,Rileys Garden Centre Ballapaddag Cooil Road Douglas Isle Of Man  
Refused,17/01317/B,"Approval to use 125 square metres of garden centre for sale of Ladies, Mens and Childrens clothing (retrospective)",10-Sep-20,Planning Committee,Rileys Garden Centre Ballapaddag Cooil Road Douglas Isle Of Man  
Refused,17/01318/B,"Approval to use 30 square metres of garden centre for sale of dairy products, health and wholefood, grocery and delicatessen products(retrospective)",10-Sep-20,Planning Committee,Rileys Garden Centre Ballapaddag Cooil Road Douglas Isle Of Man  
Refused,17/01319/B,Approval to use 125 square metres of garden centre for sale of home interior goods (retrospective),10-Sep-20,Planning Committee,Rileys Garden Centre Ballapaddag Cooil Road Douglas Isle Of Man  
Deemed withdrawn,18/00331/B,Erection of an agricultural building,12-Mar-20,Withdrawn,Field 334529 Lower Gleneedle St Johns Isle Of Man  
Permitted,18/00524/B,"Erection of 96 dwellings with associated roads, car parking and landscaping",01-Apr-20,Planning Committee,Field 434021 And 434031 Corner Of Douglas Road And Victoria Road Castletown Isle Of Man  
Permitted,18/00530/CON,"Registered Building consent for external alterations, including the creation of a new opening and installation of new windows and screen to south transept, installation of roof lights, replacement of railings to boiler room, provision of external screenin",10-Sep-20,Planning Committee,Cathedral Isle Of Man (formerly St Germans Cathedral) Derby Road Peel Isle Of Man
Refused,18/00747/C,Change of use of 25 tourist apartments to residential,17-Jul-20,Planning Committee,Cherry Orchard Apartments Bridson Street Port Erin Isle Of Man IM9 6AN 
Application Withdrawn,18/00833/B,Demolition of existing buildings on site and provision of protection and treatment of adjoining and attached buildings,10-Dec-20,Planning Committee,Farmers Combine Warehouse 31 - 32 West Quay Ramsey Isle Of Man  
