"id","lat","lon","name","name:en","name:gv","tourism","website","phone"
"283481023","54.260538","-4.581516","Barregarrow Crosroads","","","attraction","",""
"283481474","54.281162","-4.587981","Douglas Corner","","","attraction","",""
"283484388","54.187954","-4.474324","Hillberry Corner","","","attraction","",""
"283486904","54.303586","-4.563242","Dub Cottage","","","attraction","",""
"283488031","54.09106","-4.676176","Iron Gates","","","attraction","",""
"283488566","54.103678","-4.729075","","","","picnic_site","",""
"283494345","54.322196","-4.386679","Parliament Square","","","attraction","",""
"283495997","54.080779","-4.656045","Stadium Bends","","","attraction","",""
"283500649","54.203791","-4.64281","","","","viewpoint","",""
"283500807","54.166899","-4.516311","Snugborough","","","attraction","",""
"283501121","54.271737","-4.606389","","","","picnic_site","",""
"283504477","54.316953","-4.383727","Whitegates","","","attraction","",""
"283505662","54.282114","-4.592881","Glen Wyllin","","","camp_site","https://www.isleofman.com/Business/g/glenwyllin",""
"283509592","54.097076","-4.676042","Ballabeg Hairpin","","","attraction","",""
"283514446","54.16834","-4.477245","Tourist Trophy course start line","","","attraction","",""
"283516992","54.078389","-4.655873","Castletown Corner","","","attraction","",""
"283517384","54.318443","-4.496421","Caley's","","","attraction","",""
"283519166","54.165269","-4.483925","St Ninian's Crossroads","","","attraction","",""
"283519410","54.312146","-4.526437","Ballacrye Corner","","","attraction","",""
"283519596","54.086524","-4.653902","Great Meadow","","","attraction","",""
"283519855","54.183878","-4.566098","Crosby Crossroads","","","attraction","",""
"283520110","54.083205","-4.674371","Ballakaighen","","","attraction","",""
"283522771","54.163854","-4.740051","Niarbyl","","","viewpoint","",""
"283523051","54.177588","-4.471592","Bedstead Corner","","","attraction","",""
"283524120","54.307727","-4.381138","Tower Bends","","","attraction","",""
"300040027","54.104395","-4.763526","Bradda Hill","","","viewpoint","",""
"347335439","54.312694","-4.381617","","","","viewpoint","",""
"448463229","54.20319","-4.629509","Ballacraine","","","attraction","",""
"453426276","54.160713","-4.479984","Wicklow Hills","","","guest_house","https://www.wicklowhills.com/",""
"458533095","54.186962","-4.47776","Glen Dhoo","","","camp_site","https://www.caravancampingsites.co.uk/isleofman/glendhoo.htm",""
"458533098","54.179767","-4.470014","Signpost Corner","","","attraction","",""
"458533108","54.164247","-4.485334","Bray Hill","","","attraction","",""
"458533119","54.173804","-4.549038","Ballagarey Corner","","","attraction","",""
"458533125","54.196848","-4.605775","Greeba Bridge","","","attraction","",""
"459976551","54.332103","-4.394921","The Grove Museum","","Thie Tashtee 'Yn Chell'","museum","https://manxnationalheritage.im/our-sites/grove-museum-of-victorian-life/",""
"475392854","54.278359","-4.443333","Mountain Box","","","attraction","",""
"475392873","54.331778","-4.472337","Close Chairn Cottages","","","chalet","http://www.closechairn.co.uk",""
"475392887","54.337097","-4.536658","White Gables","","","chalet","",""
"475392931","54.228388","-4.660284","Langtoft Manor","","","guest_house","https://www.peel-holidays.com/",""
"475393099","54.266368","-4.577194","Cammall Farm","","","chalet","http://www.cammallfarm.co.uk",""
"475393389","54.307444","-4.53512","Ballamoar Farm","Ballamoar Farm","Ballamoar","camp_site","http://www.ballamoar.com","+44 1624 897442"
"475393405","54.20924","-4.703765","Knockaloe Beg","","","guest_house","https://www.knockaloebegfarm.com",""
"475393738","54.138143","-4.609348","Dreemfroy","","","chalet","https://www.dreemfroy.com/",""
"475393766","54.195459","-4.476838","Brandish","","","attraction","",""
"475393870","54.172099","-4.628717","Kionslieu Farm Cottages","","","chalet","https://www.iomfarmholidays.com/",""
"475393909","54.230899","-4.471415","Windy Corner","","","attraction","",""
"475393925","54.20715","-4.467374","Creg-ny-baa","","","attraction","",""
"475393967","54.234365","-4.589538","Rhenass Christian Retreat","Rhenass Christian Retreat","Mullen Rhenass","hotel","https://www.rhenassretreat.org.uk/","+441624878474"
"475394021","54.109051","-4.622247","Blackhill","","","guest_house","",""
"475394051","54.200958","-4.65695","Ballaspit","","","camp_site","",""
"475394744","54.106954","-4.651506","Ballavell Farm","","","guest_house","http://www.ballavellfarm.net",""
