Decision,PA Ref,PROPOSAL,Decision issued,Determining Body,Property Address
Deemed withdrawn,16/00003/B,"Installation of temporary cabins to provide toilets, showers and changing rooms during renovation works to main clubhouse (retrospective)",26-Aug-21,Withdrawn,St Georges AFC The Club House Glencrutchery Road Douglas Isle Of Man IM2 6AN
Deemed withdrawn,16/00728/B,"Alterations, conversion of existing boathouse into a two storey crew facility, demolition of existing slipway and construction of a pontoon berth",26-Aug-21,Withdrawn,Douglas Lifeboat Station Battery Pier Douglas Head Douglas Isle Of Man IM1 5BT
Refused,17/01265/B,"Redevelopment of disused hotel site with new hotel and leisure facilities and 40 residential apartments, with associated highway and drainage works",15-Dec-21,Planning Committee,Golf Links Hotel Fort Island Castletown Isle Of Man IM9 1UA 
Permitted,17/01326/B,Erection of a dwelling with associated parking and alterations to access,17-Mar-21,Planning Committee,Boat Yard Derbyhaven Isle Of Man IM9 1TR 
Permitted,19/00420/B,Creation of path/cycle way,09-Feb-21,Principal Planner- North (CB),Cooil Road Roundabout And Adjacent Jacksons / Eden Business Park Cooil Road Douglas Isle Of Man  
Application Withdrawn,19/00441/B,Alterations to existing breakwater to reinforce structure,12-Feb-21,Withdrawn,Derbyhaven Breakwater Derbyhaven Isle Of Man  
Refused,19/00695/B,Erection of bottling plant shed and water storage tanks,02-Mar-21,Planning Committee,Site Near To Glen Callam House Dhoon Loop Road Dhoon Ramsey Isle Of Man IM7 1HP 
Application Withdrawn,19/00816/B,"Partial demolition of derelict hotel/guesthouse, re-construction of building (retaining front fa‡ade wall) to provide containing basement commercial and 9 residential apartments (in association with 19/00817/CON)",09-Jun-21,Withdrawn,Marina Hotel 47 Loch Promenade Douglas Isle Of Man IM1 2LZ
Permitted,19/00944/B,Creation of vehicular access,30-Mar-21,Planning Committee,April Cottage Corony Bridge Corony Ramsey Isle Of Man IM7 1EY
Permitted,19/00961/B,Erection of 133 dwellings with associated drainage and access,04-Feb-21,Planning Committee,School Hill/Westhill Estate Castletown Isle Of Man
Refused,19/00978/B,Erection of a detached barn style building for the private storage of vehicles,24-Mar-21,Principal Planner- North (CB),Ballabunt Croft Cooil Road Douglas Isle Of Man IM4 2AQ 
Permitted,19/01132/B,Erection of a greenhouse,05-Feb-21,Planning Committee,Field 124163 Adjacent To Cronk Breck Bernahara Road Andreas Isle Of Man  
Permitted,19/01437/B,Erection of a dwelling with associated parking and vehicular access,20-Jan-21,Principal Planner- North (CB),Fernlea Bride Isle Of Man IM7 4AT
Application Withdrawn,19/01439/B,"Variation of condition 2 of application 12/01671/B for the continued deposit of inert and mixed construction/demolition waste and associated site restoration, to extend the approval for a further 12 months.",04-Oct-21,Withdrawn,Wrights Pit North Landfill Off Cranstal Road Bride Isle Of Man  
Application Withdrawn,19/01444/B,"Erection of 26 dwellings with associated highways, public open space, drainage infrastructure and landscaping",02-Mar-21,Withdrawn,Field 333129 And Adjoining Land South Of Mines Road Foxdale Isle Of Man  
Refused,20/00060/A,"Approval in principle for the erection of a replacement detached dwelling addressing matters of siting, access, internal layout, external appearance and design",12-Apr-21,Planning Committee,Ballamaddrell Cottage Grenaby Road Ballabeg Castletown Isle Of Man IM9 4HD
