Planning  Applications Determined between 1/1/19 - 31/12/19,,,,,
Decision,PA Ref,PROPOSAL,Decision issued,Determining Body,Property Address
Permitted,18/00082/B,Creation of additional vehicular exit on to main road from property,01-Mar-19,Principal Planner- North (CB),Ivy Cottage Peel Road Braddan Douglas Isle Of Man IM4 4LD 
Permitted,18/00606/B,Erection of a detached dwelling in garden of Bradda Cottage,17-May-19,Planning Committee,Bradda Cottage Tower Road Spaldrick Port Erin Isle Of Man IM9 6PP
Permitted,18/00638/CON,"Registered Building Consent for the demolition of existing building and construction of two buildings containing a total of 45 apartments and a restaurant, including car parking, landscaping and new sub-station - RB 183 (in connection with application 18/",07-Aug-19,Planning Committee,Bayqueen Hotel The Promenade Port St. Mary Isle Of Man IM9 5DG
Permitted,18/00953/B,Erection of two storey extension on side of dwelling,14-Jan-19,Head of Development Management,14 Royal Park Ramsey Isle Of Man IM8 3UF 
Permitted,18/01290/B,Erection of a two storey extension to side elevation,15-Feb-19,Principal Planner - South (SC),16 Cronk Avenue Onchan Isle Of Man IM3 3DF
Permitted,18/01291/B,"Alterations, erection of extension  and widening of vehicular access and driveway",18-Jan-19,Principal Planner- North (CB),3 Cronk Avenue Onchan Isle Of Man IM3 3DG
Permitted,18/01313/B,Alterations and erection of a canopy roof extension over loading bay area,12-Feb-19,Head of Development Management,The Second Milestone Transmann Depot Peel Road Braddan Douglas Isle Of Man IM4 4LE 
Permitted,19/00009/B,3eErection of a single dwelling on land adjacent to Rheast Mooar House,26-Apr-19,Principal Planner - South (SC),Rheast Mooar House Andreas Road Ramsey Isle Of Man IM8 3UA
Permitted,19/00038/B,Alterations and erection of two storey extension to side elevation.,04-Mar-19,Principal Planner - South (SC),11 The Sycamores Ramsey Isle Of Man IM8 1LU 
Permitted,19/00044/B,Replacement of existing tile roof with glassfibre roof on ground floor rear elevation,22-Feb-19,Principal Planner- North (CB),42 Alberta Drive Onchan Isle Of Man IM3 1LX
Permitted,19/00235/CON,Application for the de-registration of the former Farmers Combine Warehouse (19/00293/REGBLD) in accordance with 7(1)(a) of the (Registered Buildings) Regulations 2013,15-Oct-19,Department Application,Former Farmers Combine Warehouse 33 West Quay Ramsey Isle Of Man  
Permitted,19/00340/B,Installation of wall with window to replace existing garage doors,15-May-19,Head of Development Management,Troutbeck Strang Road Union Mills Isle Of Man IM4 4NP
Permitted,19/00342/B,"Installation of decking, bi-fold doors, and flue",04-Jul-19,Head of Development Management,9 The Abbey Woods Douglas Isle Of Man IM2 5PL
Permitted,18/00876/C,Additional use of bedroom as therapy room for theraplate treatments,30-May-19,Planning Committee,30 Glen Vine Park Glen Vine Isle Of Man IM4 4EY
Permitted,18/00978/B,Repositioning of existing farm access,12-Feb-19,Planning Committee,Mansion House Great Meadow Castletown Isle Of Man IM9 4EB 
Permitted,19/00082/B,Alterations to rear wall to create vehicular access (in association with 19/00083/CON),18-Mar-19,Planning Committee,Castle House 7 The Parade Castletown Isle Of Man IM9 1LG 
Permitted,19/00493/B,Replacement of existing glazed conservatory roof with tile,26-Jun-19,Head of Development Management,Hilltops 33 Ballagarey Road Glen Vine Isle Of Man IM4 4EB
Permitted,19/00494/B,Alterations and erection of an extension to side elevation,11-Jul-19,Principal Planner - South (SC),Dreemskerry Ballaoates Road Castleward Douglas Isle Of Man IM4 5EJ 
Permitted,19/00511/C,Additional use of residential flat as tourist living accommodation,04-Jul-19,Head of Development Management,Flat 1  Ascog Hall Stanley Mount East Ramsey Isle Of Man IM8 1NP
Permitted,19/00512/B,Alterations and erection of extension,12-Jun-19,Head of Development Management,Hillview Glen Auldyn Ramsey Isle Of Man IM7 2AG 
Permitted,19/00514/B,Erection of a rear extension,11-Jun-19,Head of Development Management,18 Ballanoa Meadow Santon Isle Of Man IM4 1HQ
