PA Ref,Property Address,PROPOSAL,Decision,PA Decision issued,Determining Body,Appeal lodged,Appeal determined,Appeal decision
20/00787/B,Field 314758 Main Road St Johns Isle Of Man  ,"Full approval for three dwellings on plots 2,4 and 6 with drainage, access and landscaping and Approval in principle for two dwellings on plots 1 and 3 addressing siting, landscaping drainage and means of access.",Permitted,16-Jul-21,Planning Committee,03-Aug-21,12-Jan-22,Approved at Appeal
20/00967/C,Liverpool Arms Main Road Baldrine Isle Of Man IM4 6AE,Change of use from Public House (class 1.3) to residential property (class 3.3),Refused,28-Oct-20,Principal Planner- North (CB),30-Oct-20,15-Dec-22,Approved at Appeal
20/01390/B,Land Adjacent To Arbory Vicarage Main Road Ballabeg Castletown Isle Of Man IM9 4EE ,Erection of 3 detached dwellings,Refused,07-Jan-22,Director 2017+,24-Jan-22,15-Jun-22,Approved at Appeal
20/01407/B,"Plot 21, Crosby Meadows Crosby Isle Of Man IM4 2EE ",Erection of detached garage with additional living accommodation above,Refused,23-Sep-21,Principal Planner- North (CB),05-Oct-21,25-Mar-22,Refused at Appeal
20/01435/B,Field No. 124965  Ardonan Nurseries Ardonan Lane Regaby Ramsey IM7 3HN,Construction of a horse manege (retrospective),Permitted,01-Sep-21,Head of Development Management,17-Sep-21,25-Mar-22,Approved at Appeal
20/01507/A,Conister Main Road Santon Isle Of Man IM4 1JB,Approval in principle for four detached dwellings and associated access,Permitted,15-Dec-21,Planning Committee,30-Dec-21,15-Jun-22,Approved at Appeal
20/01538/B,Vacant Plot  Woodbourne Lane And To Rear Of 7 - 11 Woodbourne Villas Douglas Isle Of Man IM2 3LJ ,Erection of a 15 metre telecommunication pole with associated equipment cabinets and fencing,Permitted,19-Jul-21,Planning Committee,23-Jul-21,18-Jan-22,Refused at appeal
21/00032/B,Rileys Garden Centre Ballapaddag Cooil Road Douglas Isle Of Man IM4 2AF ,"Additional use of site for sale of food (30sq.m), sale of outdoor activity and country clothing (75sq.m) and sale of conservatory furniture (50sq.m)",Refused,18-Mar-21,Planning Committee,08-Apr-21,12-Jan-22,Approved at Appeal
21/00228/A,Field West Of Junior House King Williams College Grounds Castletown Isle Of Man IM9 1TP ,"Approval in principle for the erection of a sports centre comprising 50m swimming pool, 60m running track, sports hall and gym with changing facilities with associated parking addressing siting, access, design and external appearance",Permitted,31-May-22,Planning Committee,20-Jun-22,23-Nov-22,Refused at appeal
21/00433/B,Byculla Walpole Road Ramsey Isle Of Man IM8 1LT,Alterations and erection of replacement extension,Refused,13-Sep-21,Head of Development Management,30-Sep-21,25-Mar-22,Approved at Appeal
