"osm_id","osm_type","osm_url","lat","lon","name","name:en","name:gv","shop","addr:unit","addr:housename","addr:housenumber","addr:street","addr:place","addr:city","addr:postcode","addr:country","website","contact:website","phone","contact:phone","contact:fax","contact:email","contact:facebook"
"5755429521","node","https://osm.org/node/5755429521","54.086587","-4.75787","5ifth Dimension Kitchens","","","furniture","","","","Marina Lane","","Port Erin","IM9 6LB","IM","https://5dl.im","","+44 7624 460069","","","",""
"103568634","way","https://osm.org/way/103568634","54.08508540202883","-4.759716912250623","7th Wave","","","water_sports","","","","Strand Road","","Port Erin","IM9 6HF","","https://7thwave-iom.com","","","","","","https://www.facebook.com/7thwaveiom/"
"11261590908","node","https://osm.org/node/11261590908","54.174767","-4.454495","A Cut Above","","","hairdresser","","Elm Tree House","","Onchan Main Road","","Onchan","","IM","","","","+44 1624 624397","","",""
"1173431611","way","https://osm.org/way/1173431611","54.14693873513923","-4.50312463397117","A&J Quality Butchers Ltd","","","butcher","5","","","","Middle River Industrial Estate","Douglas","IM2 1AL","","","","","+44 1624 675596","","",""
"1217588934","way","https://osm.org/way/1217588934","54.151225439167725","-4.527916930919104","A-dore","","","furniture","27","","","","Spring Valley Industrial Estate","Douglas","IM2 2QU","IM","http://www.a-dore.us","","+441624664674","","","",""
"59384658","way","https://osm.org/way/59384658","54.14614220913806","-4.484277645981236","ATS","","","car_repair","","Arch Works","5-7","South Quay","","","IM1 5AJ","","","","","","","",""
"4179606352","node","https://osm.org/node/4179606352","54.152499","-4.479004","Accessorize","","","fashion_accessories","","","88","Strand Street","","Douglas","IM1 2EN","IM","https://www.accessorize.com/uk","","","","","",""
"59276121","way","https://osm.org/way/59276121","54.14533748493876","-4.476961065334159","Ace Carpets","","","carpet","Bays 7-8","","Unit 1","","Douglas Head Industrial Estate","Douglas","IM1 5BF","IM","","","","","","",""
"59384650","way","https://osm.org/way/59384650","54.14614546087817","-4.481179133072056","Ace Hire","","","tool_hire","10","","","","South Quay Industrial Estate","Douglas","IM1 5AT","IM","","","","","","",""
"1173431610","way","https://osm.org/way/1173431610","54.14713","-4.503424","Ace Home;Ace Carpets","","","flooring;carpet","1-2","","","","Middle River Industrial Estate","Douglas","IM2 1AL","","","","","+44 1624 616478","","",""
"419775936","way","https://osm.org/way/419775936","54.14914004104043","-4.477735709307806","Adele's Dancewear","","","clothes","","","19","Victoria Street","","","","","","","","","","",""
"101756496","way","https://osm.org/way/101756496","54.08547497455477","-4.758479834540386","Age Concern Isle of Man","","","charity","","","5","Station Road","","Port Erin","IM9 6AE","IM","https://www.ageconcern.im/","","+44 1624 835412","","","",""
