"osm_id","osm_type","osm_url","lat","lon","name","ref"
"948933228","node","https://osm.org/node/948933228","54.152332","-4.478297","Loch Promenade, Granville Street","00117"
"9190171612","node","https://osm.org/node/9190171612","54.074791","-4.754637","The Howe","1001"
"9190171613","node","https://osm.org/node/9190171613","54.074548","-4.756377","The Howe Chapel","1002"
"9190171614","node","https://osm.org/node/9190171614","54.06976","-4.768278","Cregneash Phone Box","1003"
"1786357117","node","https://osm.org/node/1786357117","54.070842","-4.765941","Cregneash Car Park","1004"
"1740421812","node","https://osm.org/node/1740421812","54.063662","-4.792457","The Sound","1005"
"3732769887","node","https://osm.org/node/3732769887","54.147503","-4.486238","Bank's Circus","101"
"685539638","node","https://osm.org/node/685539638","54.150415","-4.481019","Prospect Hill / Finch Road","10107"
"9190466917","node","https://osm.org/node/9190466917","54.149687","-4.503258","Douglas Golf Club","10201"
"9190466918","node","https://osm.org/node/9190466918","54.149451","-4.506085","Alder Road Shelter","10202"
"9190466919","node","https://osm.org/node/9190466919","54.148549","-4.508109","No.1 Heather Crescent","10203"
"9190466920","node","https://osm.org/node/9190466920","54.147735","-4.510376","No.49 Heather Crescent","10204"
"9190466921","node","https://osm.org/node/9190466921","54.148582","-4.509729","Hazel Crescent / Hazel Court","10207"
"9190466922","node","https://osm.org/node/9190466922","54.150112","-4.509088","Springfield Road Shelter","10208"
"9190466923","node","https://osm.org/node/9190466923","54.149655","-4.506107","Alder Road Towards Douglas","10209"
"9190466924","node","https://osm.org/node/9190466924","54.149775","-4.503419","Pulrose Opposite Golf Club","10210"
"1748089611","node","https://osm.org/node/1748089611","54.149759","-4.51551","Anagh Coar entrance / Castletown Road","10301"
"1748089610","node","https://osm.org/node/1748089610","54.149758","-4.515887","Anagh Coar entrance, shelter / Castletown Road","10302"
"1830297877","node","https://osm.org/node/1830297877","54.148282","-4.517819","Hampton Farm Estate, layby","10303"
"1830297876","node","https://osm.org/node/1830297876","54.147923","-4.518577","Opposite Hampton Farm Estate","10304"
"1195573125","node","https://osm.org/node/1195573125","54.145752","-4.521951","Four Roads shelter, Anagh Coar","10305"
"9190536424","node","https://osm.org/node/9190536424","54.145517","-4.523263","Four Roads, Anagh Coar","10306"
"9190536425","node","https://osm.org/node/9190536425","54.151023","-4.518504","Darragh / The Passage","10312"
"9190536426","node","https://osm.org/node/9190536426","54.150675","-4.52065","The Darragh","10313"
"9190536427","node","https://osm.org/node/9190536427","54.149373","-4.521806","Anagh Coar Close","10314"
