"Application Number","Details","Local Authority","Date"
"24/00144/B","New vehicular access to provide off-road parking 14 Ballasteen Road\nAndreas\nIsle Of Man\nIM7 4HG\n","ANDREAS","6 Feb 2024"
"24/00104/B","Replace existing front entrance porch and increase height of rear window The Coach House\nBallagawne Road\nBallabeg\nCastletown\nIsle Of Man\nIM9 4LF\n","ARBORY","5 Feb 2024"
"24/00124/B","Renovation and extension to existing cottage. Cottage\nBallachrink Farm\nGlen Road\nColby\nIsle Of Man\nIM9 4HW\n","ARBORY","6 Feb 2024"
"23/01503/C","Additional use of land to allow storage of scaffolding material and parking of works vehicles (Retrospective) Rural Industries Estate\nPeel Road\nBraddan\nDouglas\nIsle Of Man\nIM4 4LF\n","BRADDAN","7 Feb 2024"
"24/00102/D","Erection of two non-illuminated signage, one replacement and one new, for a duration of 36 months Land Adjacent To Entrance To Ballapaddag (Robinsons) & Land Adjacent To Cooil Road Roundabout\nCooil Road\nDouglas\nIsle Of Man\nIM4 2AF\n","BRADDAN","6 Feb 2024"
"24/00121/B","Removal of condition one of PA 92/1210 which restricts the use of the property to being only a Commissioners Office Braddan Parish Commissioners\nClose Corran\nUnion Mills\nIsle Of Man\nIM4 4LZ\n","BRADDAN","6 Feb 2024"
"24/00141/B","Window / Door alterations on front elevation - Change of use from retail to residential within part of ground floor of dwelling 5 Bank Street\nCastletown\nIsle Of Man\nIM9 1AT\n","CASTLETOWN","7 Feb 2024"
"24/00076/C","Additional use of the living room as a Botox treatment area 68 Derby Square\nDouglas\nIsle Of Man\nIM1 3LR\n","DOUGLAS","6 Feb 2024"
"24/00097/B","Replace two sliding patio doors and part wall with one large sliding door to East Elevation The Beeches\nHarcroft Road\nDouglas\nIsle Of Man\nIM2 1PN\n","DOUGLAS","7 Feb 2024"
"24/00105/B","Variation of condition one of PA 19/01237/B, Creation of off road parking, to extend period of permission by four years 61 Port E Chee Avenue\nDouglas\nIsle Of Man\nIM2 5EU\n","DOUGLAS","5 Feb 2024"
"24/00113/B","Installation of replacement windows to front and rear elevations 4 Queens Terrace\nDouglas\nIsle Of Man\nIM1 4BZ\n","DOUGLAS","7 Feb 2024"
