"osm_id","osm_type","osm_url","lat","lon","name","name:en","name:gv","tourism","wikidata","website","contact:website","phone","contact:phone","contact:email","contact:facebook"
"11009081344","node","https://osm.org/node/11009081344","54.143423","-4.46892","""They shall grow not old...""","","","information","","","","","","",""
"8603450963","node","https://osm.org/node/8603450963","54.091326","-4.649636","""Vampire's Grave""","","","attraction","","","","","","",""
"9918871435","node","https://osm.org/node/9918871435","54.245251","-4.596878","11th Milestone","","","attraction","Q4547915","","","","","",""
"12108629870","node","https://osm.org/node/12108629870","54.20135","-4.642568","2018 Year of Our Island","","","artwork","","","","","","",""
"1697727855","node","https://osm.org/node/1697727855","54.301146","-4.393582","26th Milestone","","","attraction","Q4632463","","","","","",""
"1697702230","node","https://osm.org/node/1697702230","54.237038","-4.47367","32nd Milestone","","","attraction","","","","","","",""
"1172466778","way","https://osm.org/way/1172466778","54.16707178508214","-4.462358012140318","5 Strathallan","","","apartment","","https://5strathallan.com","","","","",""
"101799684","way","https://osm.org/way/101799684","54.078791375264785","-4.737302174267259","Aaron House","","","guest_house","","https://www.aaronhouse.im","","","","",""
"1069323482","node","https://osm.org/node/1069323482","54.160192","-4.481327","Adelphi Hotel","","","hotel","","","","+44 1624 676591","","",""
"80989823","way","https://osm.org/way/80989823","54.15031597886617","-4.4778159423747494","Admiral House","","","hotel","","http://www.admiralhouse.com/","","","","",""
"147860349","way","https://osm.org/way/147860349","54.22149258436838","-4.689547051631378","Albany House","","","guest_house","","http://manxbedandbreakfast.com/","","","","",""
"10794945305","node","https://osm.org/node/10794945305","54.159221","-4.480582","All Seasons","","","guest_house","","","","","","",""
"112574139","way","https://osm.org/way/112574139","54.21660965636163","-4.5206959236674775","Ard Whallan Outdoor Centre","","","hostel","","","","","","",""
"229711876","way","https://osm.org/way/229711876","54.13145052401417","-4.540527963358812","Ard-na-Mara Holiday Apartments","","","guest_house","","","","","","",""
"502490905","node","https://osm.org/node/502490905","54.16027","-4.479197","Arrandale House","","","hotel","","https://www.arrandale.com","","","","",""
"476150218","node","https://osm.org/node/476150218","54.161805","-4.474519","Ascot Hotel","","","hotel","","https://www.hotel-ascot.co.uk/","","","","",""
"12188621814","node","https://osm.org/node/12188621814","54.163653","-4.469347","At Caledonia","","","hotel","","https://www.caledonia.im","","","","",""
"101847182","way","https://osm.org/way/101847182","54.08409426492564","-4.758147294887733","Athol Park Guesthouse","","","guest_house","","","","","","",""
"1006850984","way","https://osm.org/way/1006850984","54.40579953990068","-4.412449854237212","Ayres Nature Discovery Centre and Nature Trail","","","information","","https://www.mwt.im/nature-reserves/ayres-nature-discovery-centre-and-nature-trail","","","","",""
"963223830","way","https://osm.org/way/963223830","54.327870713751736","-4.388257115668095","Baie Mooar House","Baie Mooar House","Baie Mooar","guest_house","","https://www.baiemooar.com/","","","+44 7624 304403","bookings@baiemooar.com",""
"283509592","node","https://osm.org/node/283509592","54.097076","-4.676042","Ballabeg Hairpin","","","attraction","","","","","","",""
"1280034750","way","https://osm.org/way/1280034750","54.1953097617977","-4.698225482794548","Ballacallin Court","","","chalet","","https://isleofman-holidaycottages.com","","","","",""
"492916887","node","https://osm.org/node/492916887","54.118489","-4.637253","Ballachrink Barn Cottages","","","chalet","","http://www.barncottagesisleofman.com","","","","",""
"169812273","way","https://osm.org/way/169812273","54.366102169543296","-4.393449475205392","Ballachrink Bungalow","","","chalet","","https://www.ballachrink.co.uk/","","+44 1624 880364","","",""
"169812275","way","https://osm.org/way/169812275","54.36610630604004","-4.394330644709389","Ballachrink Farm","","","guest_house","","https://www.ballachrink.co.uk/","","+44 1624 880364","","",""
"476184704","node","https://osm.org/node/476184704","54.366888","-4.438508","Ballacottier Beg","","","chalet","","","","","","",""
"1321468672","way","https://osm.org/way/1321468672","54.31851063996522","-4.494868763863468","Ballacowell","","","guest_house","","http://www.ballacowell.co.uk","","","","",""
"448463229","node","https://osm.org/node/448463229","54.20319","-4.629509","Ballacraine","Ballacraine","Balley Craine","attraction","Q4851317","","","","","",""
"161834494","way","https://osm.org/way/161834494","54.12338914016737","-4.68193674410916","Ballacricket Farmhouse","","","guest_house","","http://www.ballacricket.com","","","","",""
"10683492835","node","https://osm.org/node/10683492835","54.348383","-4.493023","Ballacrye Beg","","","chalet","","https://ballacryebeg.com","","","","","https://www.facebook.com/BallacryeBeg/"
